Date,Time,Site,Tracker_ID,ID,Band,Colour_L,Colour_R,Sex,GPS_ID,Lat,Lon,Signal,Gain,Angle,Direction,Receiver,Temperature,Wind,Cloud,Precipitations,Snow_depth,Snow_hardness,Snow_water,Comments
13/11/2023,10:45,1,AMC,123,2991-40336,Blue/Blue,Metal/Blue,Male,11-13-2023 NOCA 123,45.4308,-73.93909,162,20,243,STRAIGHT,OLD,1,11,100,0,0,0,0,
23/11/2023,13:27,1,AM,116,2991-40569,Brown/Black,Metal/Red,Female,NA,45.43061,-73.93864,NA,NA,NA,NA,NA,4,7,100,0,0,0,0,
29/11/2023,9:32,1,AMC,97,2991-40536,Red/White,Blue/Metal,Male,11-29-2023 NOCA 97,45.43123,-73.93886,148,30,2,STRAIGHT,OLD,-7,12,100,0,0,0,0,
29/11/2023,9:49,1,AMC,116,2991-40569,Brown/Black,Metal/Red,Female,11-29-2023 NOCA 102,45.43161,-73.93925,160,20,33,STRAIGHT,OLD,-6,12,100,0,0,0,0,
29/11/2023,10:24,1,AMC,123,2991-40336,Blue/Blue,Metal/Blue,Male,11-29-2023 NOCA 123,45.43219,-73.93909,149,30,220,STRAIGHT,OLD,-4,12,100,0,0,0,0,
08/12/2023,9:58,1,AMC,120b,2991-04521,Blue/White,Metal/Red,Female,12-08-2023 NOCA 121,45.42845,-73.93687,150,30,270,UP,OLD,-7,10,100,0,23,1,1,
08/12/2023,10:49,1,AMC,97,2991-40536,Red/White,Blue/Metal,Male,12-08-2023 NOCA 93,45.4317,-73.93948,161,30,210,STRAIGHT,OLD,-6,11,100,0,23,1,1,
08/12/2023,10:49,1,AMC,123,2991-40336,Blue/Blue,Metal/Blue,Male,12-08-2023 NOCA 93,45.4317,-73.93948,161,30,210,STRAIGHT,OLD,-6,11,100,0,23,1,1,
08/12/2023,11:13,1,AMC,104,2991-40554,Yellow/Black,Metal/Blue,Male,12-08-2023 NOCA 104,45.43006,-73.93851,165,20,182,STRAIGHT,OLD,-5,11,100,0,23,1,1,
14/12/2023,10:44,1,AMC,123,2991-40336,Blue/Blue,Metal/Blue,Male,12-14-2023 NOCA 123,45.42979,-73.93957,144,30,222,UP,OLD,-4,13,20,0,0,0,0,
22/12/2023,9:35,1,AMC,104,2991-40554,Yellow/Black,Metal/Blue,Male,12-22-2023 NOCA 99,45.43028,-73.93851,121,40,171,STRAIGHT,OLD,-9,6,0,0,0,0,0,
22/12/2023,9:35,1,AMC,123,2991-40336,Blue/Blue,Metal/Blue,Male,12-22-2023 NOCA 99,45.43028,-73.93851,121,40,171,STRAIGHT,OLD,-9,6,0,0,0,0,0,
05/01/2024,10:19,1,AMC,120b,2991-04521,Blue/White,Metal/Red,Female,01-05-2024 NOCA 120,45.43128,-73.9389,150,30,299,STRAIGHT,OLD,-10,12,100,0,0.1,1,1,
05/01/2024,10:37,1,AMC,123,2991-40336,Blue/Blue,Metal/Blue,Male,01-05-2024 NOCA 93,45.43012,-73.93965,147,30,219,STRAIGHT,OLD,-9,13,100,0,0.1,1,1,
05/01/2024,10:37,1,AMC,97,2991-40536,Red/White,Blue/Metal,Male,01-05-2024 NOCA 93,45.43012,-73.93965,147,30,219,STRAIGHT,OLD,-9,13,100,0,0.1,1,1,
05/01/2024,10:37,1,AMC,104,2991-40554,Yellow/Black,Metal/Blue,Male,01-05-2024 NOCA 93,45.43012,-73.93965,147,30,219,STRAIGHT,OLD,-9,13,100,0,0.1,1,1,
05/01/2024,11:11,1,AMC,118,2991-40399,Blue/Red,Metal/Red,Female,01-05-2024 NOCA 118,45.43098,-73.93843,161,20,290,STRAIGHT,OLD,-8,13,100,0,0.1,1,1,
08/01/2024,10:23,1,AMC,104,2991-40554,Yellow/Black,Metal/Blue,Male,01-08-2024 NOCA 104,45.43045,-73.93928,140,30,207,STRAIGHT,OLD,-3,17,100,0,25,1,1,
08/01/2024,11:43,1,AMC,97,2991-40536,Red/White,Blue/Metal,Male,01-08-2024 NOCA 97,45.43028,-73.93851,147,40,120,STRAIGHT,OLD,-3,15,100,0,25,1,1,
11/01/2024,14:05,1,LD,118,2991-40399,Blue/Red,Metal/Red,Female,NA,45.42962,-73.93844,185,40,44,UP,NEW,-5,17,100,0,21,3,1,GPS coordinates taken with phone
11/01/2024,14:38,1,LD,120b,2991-04521,Blue/White,Metal/Red,Female,NA,45.42891,-73.93701,217,50,247,STRAIGHT,NEW,-5,17,100,0,21,3,1,GPS coordinates taken with phone
12/01/2024,14:10,1,LD,104,2991-40554,Yellow/Black,Metal/Blue,Male,01-12-2024 NOCA 104,45.43028,-73.93847,185,40,101,UP,NEW,-4,2,0,0,20,2,1,
12/01/2024,14:52,1,LD,116,2991-40569,Brown/Black,Metal/Red,Female,01-12-2024 NOCA 116,45.43093,-73.93851,184,40,54,STRAIGHT,NEW,-4,0,10,0,20,2,1,
15/01/2024,9:32,1,LD,118,2991-40399,Blue/Red,Metal/Red,Female,01-15-2024 NOCA 118,45.43022,-73.93822,224,40,200,UP,NEW,-6,9,50,0,26,1,2,
