"","ID","Site","randLat","randLon","Winter","Mean_Veg_Height_25_m","Mean_Veg_Height_50_m","Mean_Veg_Height_100_m","Mean_Veg_Height_200_m","Sd_Veg_Height_25_m","Sd_Veg_Height_50_m","Sd_Veg_Height_100_m","Sd_Veg_Height_200_m","mean_Pop_Dens_25_m","mean_Pop_Dens_50_m","mean_Pop_Dens_100_m","mean_Pop_Dens_200_m","mean_Single_House_25_m","mean_Single_House_50_m","mean_Single_House_100_m","mean_Single_House_200_m","mean_Semi_Detached_House_25_m","mean_Semi_Detached_House_50_m","mean_Semi_Detached_House_100_m","mean_Semi_Detached_House_200_m","mean_Row_House_25_m","mean_Row_House_50_m","mean_Row_House_100_m","mean_Row_House_200_m","mean_App_Duplex_25_m","mean_App_Duplex_50_m","mean_App_Duplex_100_m","mean_App_Duplex_200_m","mean_App_Less_5_Storeys_25_m","mean_App_Less_5_Storeys_50_m","mean_App_Less_5_Storeys_100_m","mean_App_Less_5_Storeys_200_m","mean_App_Over_5_Storeys_25_m","mean_App_Over_5_Storeys_50_m","mean_App_Over_5_Storeys_100_m","mean_App_Over_5_Storeys_200_m","sd_Pop_Dens_25_m","sd_Pop_Dens_50_m","sd_Pop_Dens_100_m","sd_Pop_Dens_200_m","sd_Single_House_25_m","sd_Single_House_50_m","sd_Single_House_100_m","sd_Single_House_200_m","sd_Semi_Detached_House_25_m","sd_Semi_Detached_House_50_m","sd_Semi_Detached_House_100_m","sd_Semi_Detached_House_200_m","sd_Row_House_25_m","sd_Row_House_50_m","sd_Row_House_100_m","sd_Row_House_200_m","sd_App_Duplex_25_m","sd_App_Duplex_50_m","sd_App_Duplex_100_m","sd_App_Duplex_200_m","sd_App_Less_5_Storeys_25_m","sd_App_Less_5_Storeys_50_m","sd_App_Less_5_Storeys_100_m","sd_App_Less_5_Storeys_200_m","sd_App_Over_5_Storeys_25_m","sd_App_Over_5_Storeys_50_m","sd_App_Over_5_Storeys_100_m","sd_App_Over_5_Storeys_200_m"
"11","104",1,45.4291282524918,-73.9406631782635,2,16.4220117597148,13.4995079035666,9.4875681527272,8.73043591530627,4.51004134332285,6.71468841746696,7.92573713804896,8.68929583212226,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","104",1,45.4302007207343,-73.9360629624811,2,0.0431618505971252,0.144488523449308,1.12312807395501,1.69132677229428,0.0182370714088161,0.650401354085246,2.98697890719022,3.86407766741757,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","104",1,45.4268826512551,-73.9393786006944,2,1.77185713709618,2.95176059521376,6.62454413152983,8.40746552449166,3.21944705320327,4.55462383888925,7.35044373340238,9.01776575217796,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","104",1,45.4300919488193,-73.9376456045893,2,5.0715688782205,4.29900282334858,2.24043100563545,2.5121536800778,5.96982819917058,5.65196227641254,4.3834954578124,4.36853701034584,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","104",1,45.4306567541779,-73.9388334476812,2,2.27988288238758,2.21519025369193,3.24223289770231,4.95978757945266,2.56532558403157,3.50345561538857,5.01493029741988,7.0496017976779,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","104",1,45.4311397612021,-73.940224323268,2,11.9837172224714,11.067672258362,12.0960131521847,10.8949730165701,6.69345048484421,8.06309085051376,9.48753071115379,9.99565742166975,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","104",1,45.4302492560951,-73.939796618908,2,2.52399488065688,3.23422162460277,4.17588454878207,7.55521457298428,2.77088730166406,3.8828295445172,4.5710432943358,8.29884855099621,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","104",1,45.4312191071156,-73.9400226609071,2,7.91485709055238,8.36981639490357,11.4251709777228,10.5083367684316,7.69866854926764,7.51838255780483,9.21010371317798,9.97641328290633,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","104",1,45.4300442702338,-73.9375904872805,2,4.60781378229686,4.48239199360924,2.24002063273598,2.51441457145203,5.76825748804423,5.79634242001206,4.4357963006029,4.30784706295905,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","107",6,45.4562128626233,-73.6472612085673,2,5.40914479801488,6.86928478557128,7.75617812090841,7.73457478170621,4.70252315123646,5.17759680263677,5.79436958010265,5.88966367487026,4254,4254,4605.875,4873.9137254902,50,50,57.5,66.9607843137255,70,70,68.75,64.9019607843137,0,0,0.416666666666667,1.66666666666667,85,85,66.6666666666667,55.2941176470588,45,45,53.75,52.843137254902,0,0,0,0,0,0,636.587423297068,715.327977369712,0,0,17.5162262436343,26.3453683096773,0,0,7.72392975816656,13.1715677152885,0,0,1.44337567297406,3.41565025531987,0,0,33.1890818118723,37.9395804497873,0,0,24.3203057696089,26.481217909318,0,0,0,0
