"","ID","Site","randLat","randLon","Winter","Mean_Veg_Height_25_m","Mean_Veg_Height_50_m","Mean_Veg_Height_100_m","Mean_Veg_Height_200_m","Sd_Veg_Height_25_m","Sd_Veg_Height_50_m","Sd_Veg_Height_100_m","Sd_Veg_Height_200_m","mean_Pop_Dens_25_m","mean_Pop_Dens_50_m","mean_Pop_Dens_100_m","mean_Pop_Dens_200_m","mean_Single_House_25_m","mean_Single_House_50_m","mean_Single_House_100_m","mean_Single_House_200_m","mean_Semi_Detached_House_25_m","mean_Semi_Detached_House_50_m","mean_Semi_Detached_House_100_m","mean_Semi_Detached_House_200_m","mean_Row_House_25_m","mean_Row_House_50_m","mean_Row_House_100_m","mean_Row_House_200_m","mean_App_Duplex_25_m","mean_App_Duplex_50_m","mean_App_Duplex_100_m","mean_App_Duplex_200_m","mean_App_Less_5_Storeys_25_m","mean_App_Less_5_Storeys_50_m","mean_App_Less_5_Storeys_100_m","mean_App_Less_5_Storeys_200_m","mean_App_Over_5_Storeys_25_m","mean_App_Over_5_Storeys_50_m","mean_App_Over_5_Storeys_100_m","mean_App_Over_5_Storeys_200_m","sd_Pop_Dens_25_m","sd_Pop_Dens_50_m","sd_Pop_Dens_100_m","sd_Pop_Dens_200_m","sd_Single_House_25_m","sd_Single_House_50_m","sd_Single_House_100_m","sd_Single_House_200_m","sd_Semi_Detached_House_25_m","sd_Semi_Detached_House_50_m","sd_Semi_Detached_House_100_m","sd_Semi_Detached_House_200_m","sd_Row_House_25_m","sd_Row_House_50_m","sd_Row_House_100_m","sd_Row_House_200_m","sd_App_Duplex_25_m","sd_App_Duplex_50_m","sd_App_Duplex_100_m","sd_App_Duplex_200_m","sd_App_Less_5_Storeys_25_m","sd_App_Less_5_Storeys_50_m","sd_App_Less_5_Storeys_100_m","sd_App_Less_5_Storeys_200_m","sd_App_Over_5_Storeys_25_m","sd_App_Over_5_Storeys_50_m","sd_App_Over_5_Storeys_100_m","sd_App_Over_5_Storeys_200_m","Road_Length_25_m","Road_Length_50_m","Road_Length_100_m","Road_Length_200_m","Dist_to_Nearest_Feeder_m"
"11",206,1,45.4311455007317,-73.9402563566561,1,12.9042781458285,11.5607736499149,12.3265209957651,10.9742847949154,6.39006284143322,8.1671755466281,9.54153556994069,10.0124687209479,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.100474943525
"12",206,1,45.4310467058215,-73.9379536887175,1,0.34765186280605,1.38818329508179,1.98050179277277,3.15557542051549,1.14303141964985,2.99547515400395,4.42874339172852,5.62652826884592,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.858985669856
"13",206,1,45.4347197057327,-73.9400721553106,1,0.0697808552468834,1.63856300013847,5.7353808967734,10.1490979671338,0.0234157071390081,4.53536834723281,9.24428535020881,11.0757148235601,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489.086490256065
"14",206,1,45.4327707602247,-73.9394046393933,1,5.40196306227662,7.51815117767803,6.49742589946062,9.01753246048947,5.97956049030477,9.68022633068142,7.76944795937644,10.3049493573325,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.203672635123
"15",206,1,45.4316568876139,-73.940165747409,1,15.9445668645886,14.1387119567459,14.9431236330236,11.9161148458929,9.38442289626046,8.99647116726542,9.21897240285729,10.3489995786958,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.411623142038
"16",206,1,45.4317541095941,-73.9422926553472,1,23.2945887447612,22.8871871038502,19.4931322339919,16.8946966145668,3.75298678162997,5.05639858356162,9.17741735100009,9.78599368678047,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.747300607684
"17",206,1,45.4328102945901,-73.9385258652712,1,0.0269989894583655,0.0304658303995753,1.46788840594015,4.97117178036562,0.0123209005537663,0.0137880167435734,3.96306112635734,8.0550811127027,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.771582335398
"18",206,1,45.430566308197,-73.9408003985239,1,7.95728315611983,10.3889327834877,11.6637069885782,9.61013474570619,5.2906885435954,5.93179489753927,8.27091191880303,9.63845224391858,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.449989174718
"19",206,1,45.4321524634621,-73.9395206235306,1,9.16845738349499,10.6067970286557,10.0425837652991,9.56740412061877,4.05764091334478,6.43979833982185,9.28263566122013,10.4785506414149,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.836132912947
"20",206,1,45.4338440134155,-73.9407954168471,1,22.7091541737015,21.3470819831623,16.5284522830539,14.3947441453809,2.52427451417025,4.08336532665211,9.00119527911522,11.0683076761605,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379.118170572551
"21",206,1,45.432604911994,-73.9404800858388,1,16.8399792222016,18.8919975298249,17.5591198780876,14.9177828001034,4.55076611046332,6.26638585737383,8.07831486913171,10.7500115068193,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.08465870656
"22",206,1,45.4336779395019,-73.9385061534406,1,0.0420427929668844,0.0411755321590046,1.02151707156388,3.7285342175331,0.0169443079884415,0.0174443882012337,3.33075072042634,7.16705344899943,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.046858946192
"23",206,1,45.4330485372128,-73.937919196924,1,0.0362925686891943,0.349960521815487,1.01549273179087,2.58464289493716,0.0165115888009928,1.90504591825916,3.39720497902289,5.63444199468801,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.642485507876
"24",206,1,45.4311355805816,-73.9397129900926,1,3.95092157530932,4.40240224461354,9.3337361335723,9.39976510525912,4.40181116392729,5.80852334478322,8.65725707583458,9.75700356806323,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.328624856753
"25",206,1,45.4300324302385,-73.9383467628935,1,2.43206221038678,3.31060070801564,2.96683840709241,3.4320047288512,3.38449796170034,4.87272485020591,4.33882240414829,5.25080948462391,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28295580140344
