"","Disp.","Band","Species","Wing","Age","Aged","Sex","Sexed","Fat","Weight","Date","Time","Bander","Scribe","Net","Notes","Exported","Valid","Invalid","Errors","History","Age.1","Sex.1","Location","Status","Condition","Code","Program","F","T","R2","3","R4","R5","R6","7","UC","S","SL","TC","SC","SD","CE","TP","OT","AL","TA","Z","NA","NA.1","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.9","NA.10","NA.11","NA.12","NA.13","NA.14","NA.15","NA.16","NA.17","NA.18","NA.19","NA.20","Replaced Band Number for Disposition 5 captures","DET Category Override","Aux Marker Type","Is Aux Marker Coded?","Aux Marker Code","Aux Marker Band Color","Aux Marker Code Color","Left Leg Color 1","Left Leg Color 2","Left Leg Color 3","R Leg Color 1","R Leg Color 2","R Leg Color 3","Last Bandit Export Timestamp","Count Bandit Exports","Creation Timestamp","Modify Timestamp","DET Category","To Be Deleted","Days since most recent prior capture","DET Date","Original Capture ID","NA.21","NA.22","NA.23","NA.24","NA.25","NA.26","NA.27","NA.28","NA.29","NA.30","NA.31","NA.32","NA.33","NA.34","NA.35","NA.36","NA.37","NA.38","Flags","Year","Season","week"
"50837","1","253123749","NOCA","92","2","3","4","1","0","44.2","2012-10-24","09:50","SID","JOG","C1","","FALSE","","","FALSE","FALSE","","","MBO","300","","","FMMP2012","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/24/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"FMMP",43
"50838","1","253123750","NOCA","90","2","1","4","1","0","45","2012-10-24","09:50","SID","JOG","H1","","FALSE","","","FALSE","FALSE","","","MBO","300","","","FMMP2012","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/24/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"FMMP",43
"50841","R","253123731","NOCA","94","0","1","4","1","0","44.6","2012-10-24","10:50","SID","JDE","N3","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","FMMP2012","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","4","10/24/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"FMMP",43
"50842","1","253123751","NOCA","88","2","1","5","1","0","41.8","2012-10-24","10:50","SID","JDE","D2","","FALSE","","","FALSE","FALSE","","","MBO","300","","","FMMP2012","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/24/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"FMMP",43
"50892","1","253123752","NOCA","88","0","1","5","1","0","45.1","2012-10-25","09:50","SID","CIB","N3","","FALSE","","","FALSE","TRUE","2","","MBO","300","","","FMMP2012","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/25/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"FMMP",43
"50900","R","253123751","NOCA","89","2","1","5","1","0","40.8","2012-10-25","10:40","SID","MGS","B2","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","FMMP2012","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","1","10/25/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"FMMP",43
"50902","R","253123746","NOCA","91","2","1","5","1","0","44.7","2012-10-25","11:20","SID","CIB","D2","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","FMMP2012","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","2","10/25/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"FMMP",43
"50906","R","242193996","NOCA","98","0","1","4","1","0","46","2012-10-25","11:30","SID","CIB","B2","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","FMMP2012","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","29","10/25/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"FMMP",43
"50907","R","253123748","NOCA","91","0","1","5","1","1","43.1","2012-10-25","11:30","SID","CIB","N1","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","FMMP2012","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","2","10/25/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"FMMP",43
"50985","R","242193989","NOCA","94","0","1","4","1","0","48.3","2012-10-28","08:10","LIK","DDA","A2","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","FMMP2012","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","9","10/28/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"FMMP",44
