"","Disp.","Band","Species","Wing","Age","Aged","Sex","Sexed","Fat","Weight","Date","Time","Bander","Scribe","Net","Notes","Exported","Valid","Invalid","Errors","History","Age.1","Sex.1","Location","Status","Condition","Code","Program","F","T","R2","3","R4","R5","R6","7","UC","S","SL","TC","SC","SD","CE","TP","OT","AL","TA","Z","NA","NA.1","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.9","NA.10","NA.11","NA.12","NA.13","NA.14","NA.15","NA.16","NA.17","NA.18","NA.19","NA.20","Replaced Band Number for Disposition 5 captures","DET Category Override","Aux Marker Type","Is Aux Marker Coded?","Aux Marker Code","Aux Marker Band Color","Aux Marker Code Color","Left Leg Color 1","Left Leg Color 2","Left Leg Color 3","R Leg Color 1","R Leg Color 2","R Leg Color 3","Last Bandit Export Timestamp","Count Bandit Exports","Creation Timestamp","Modify Timestamp","DET Category","To Be Deleted","Days since most recent prior capture","DET Date","Original Capture ID","NA.21","NA.22","NA.23","NA.24","NA.25","NA.26","NA.27","NA.28","NA.29","NA.30","NA.31","NA.32","NA.33","NA.34","NA.35","NA.36","NA.37","NA.38","Flags","Year","Season","week"
"157","1","86110674","NOCA","91","2","1","4","1","0","47","2004-09-30","10:50","MAG","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","9/30/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",40
"160","1","86110675","NOCA","95","2","1","5","1","0","43","2004-09-30","11:00","MAG","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","9/30/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",40
"195","1","78234971","NOCA","92","2","1","4","1","0","48","2004-10-01","11:00","MAG","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/1/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",40
"207","1","86110676","NOCA","89","0","1","5","1","0","41","2004-10-03","08:20","MAG","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/3/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",40
"256","1","86110677","NOCA","86","2","1","5","1","0","40","2004-10-04","08:20","MAG","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/4/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",40
"653","R","78234971","NOCA","89","2","1","4","1","0","48","2004-10-18","11:50","MAG","GEG","D1","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","17","10/18/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",42
"701","1","85208291","NOCA","88","2","1","5","1","0","42","2004-10-22","12:10","CLR","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/22/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",43
"707","1","115234001","NOCA","96","1","1","4","1","0","47","2004-10-23","08:00","LAL","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/23/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",43
"748","R","78234971","NOCA","88","2","1","4","1","0","46","2004-10-25","09:20","CLR","MAG","C2","","FALSE","","","TRUE","FALSE","","","MBO","300","7","89","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","7","10/25/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",43
"789","R","86110677","NOCA","89","2","1","5","1","1","45","2004-10-25","11:40","MAH","BHM","F3","","FALSE","","","TRUE","FALSE","","","MBO","300","7","89","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","21","10/25/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",43
"798","1","86110680","NOCA","93","2","1","5","1","0","44","2004-10-25","12:00","MAG","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/25/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",43
"835","1","86110681","NOCA","91","0","1","5","1","0","39","2004-10-29","10:50","MAG","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/29/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",44
"986","R","86110677","NOCA","89","2","1","5","1","0","46","2004-11-27","12:30","MAG","IJ","W3","","FALSE","","","TRUE","FALSE","","","MBO","300","7","89","WINTER2004-05","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","33","11/27/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"WINT",48
"988","1","86110682","NOCA","95","0","1","4","1","0","47","2004-11-27","12:30","MAG","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","WINTER2004-05","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","11/27/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"WINT",48
"992","1","86110683","NOCA","91","2","1","4","1","0","44","2004-11-27","12:40","SRC","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","WINTER2004-05","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","11/27/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"WINT",48
"1051","1","86110684","NOCA","93","2","1","4","1","0","47","2004-11-30","12:20","CLR","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","WINTER2004-05","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","11/30/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"WINT",48
"1054","1","86110685","NOCA","93","0","1","4","1","0","46","2004-11-30","12:30","CLR","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","WINTER2004-05","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","11/30/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"WINT",48
"1055","1","115234035","NOCA","90","2","1","5","1","0","43","2004-11-30","12:30","MAG","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","WINTER2004-05","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","11/30/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"WINT",48
"1079","1","86110686","NOCA","89","0","1","5","1","0","46","2004-12-04","10:40","CLR","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","WINTER2004-05","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","12/4/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"WINT",49
"1080","1","86110687","NOCA","92","0","1","4","1","0","47","2004-12-04","10:40","CLR","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","WINTER2004-05","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","12/4/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"WINT",49
"1246","1","115234041","NOCA","91","5","1","4","1","0","48","2005-04-12","09:10","MAG","GEG","C2","","FALSE","","","FALSE","FALSE","","","MBO","300","","","SMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","4/12/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"SMMP",15
"1313","R","86110675","NOCA","92","1","1","5","1","1","47","2005-04-20","10:10","CLR","CM","C2","","FALSE","","","TRUE","FALSE","","","MBO","300","7","89","SMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Return","","202","4/20/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"SMMP",16
"1430","1","115234071","NOCA","95","1","1","4","1","1","44","2005-05-02","06:30","MAG","MSM","F3","","FALSE","","","FALSE","FALSE","","","MBO","300","","","SMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","5/2/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"SMMP",18
"1660","1","189189726","NOCA","92","4","1","5","1","0","44","2005-05-16","10:20","MAG","HJG","E1","","FALSE","","","FALSE","FALSE","","","MBO","300","","","SMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","5/16/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"SMMP",20
"1928","1","189189752","NOCA","90","1","1","5","16","0","47","2005-05-26","11:10","MAG","MAG","B4","","FALSE","","","FALSE","FALSE","6","","MBO","300","","","SMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","5/26/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"SMMP",21
"1929","1","189189753","NOCA","92","1","1","4","1","0","41","2005-05-26","11:10","BF","MAG","B4","","FALSE","","","FALSE","FALSE","","","MBO","300","","","SMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","5/26/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"SMMP",21
"2081","R","115234071","NOCA","96","1","1","4","1","0","44","2005-05-31","10:20","MAG","DRB","A1","","FALSE","","","TRUE","FALSE","","","MBO","300","7","89","SMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","29","5/31/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"SMMP",22
"2301","1","189189789","NOCA","88","1","1","5","1","1","40","2005-08-12","08:00","MAG","ATH","G1","","FALSE","","","FALSE","FALSE","","","MBO","300","","","FMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","8/12/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"FMMP",32
"2551","R","115234071","NOCA","94","1","1","4","1","0","42","2005-08-22","07:20","MAG","VIP","B2","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","FMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","4/22/2020 11:11","Repeat","","83","8/22/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"FMMP",34
"2623","1","86117099","NOCA","86","4","1","0","1","0","37","2005-08-22","12:40","MAG","MAH","B2","","FALSE","","","FALSE","FALSE","","","MBO","300","","","FMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","8/22/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"FMMP",34
"2784","R","189189789","NOCA","88","1","1","5","B","0","42","2005-08-29","09:10","BF","GEG","B3","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","FMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","17","8/29/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"FMMP",35
"3563","1","121258624","NOCA","96","2","1","4","1","0","43","2005-09-15","08:20","MAG","MEJ","B1","","FALSE","","","FALSE","FALSE","","","MBO","300","","","FMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","9/15/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"FMMP",37
"4601","1","121258625","NOCA","86","2","13","5","1","0","44","2005-10-01","08:50","MAG","EB","B1","","FALSE","","","FALSE","FALSE","","","MBO","300","","","FMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/1/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"FMMP",40
"4994","1","223100857","NOCA","84","2","13","5","1","0","38","2005-10-04","12:40","MAG","JB","C1","","FALSE","","","FALSE","FALSE","","","MBO","300","","","FMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/4/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"FMMP",40
"5028","R","223100857","NOCA","84","2","1","5","1","0","39","2005-10-05","09:20","MAG","LB","H1","","FALSE","","","TRUE","FALSE","","","MBO","300","7","89","FMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","1","10/5/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"FMMP",40
"5322","1","223100862","NOCA","93","1","1","5","1","0","42","2005-10-11","11:10","MAG","CLS","A1","?","FALSE","","","FALSE","FALSE","","","MBO","300","","","FMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/11/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"FMMP",41
"5325","1","223100863","NOCA","89","2","1","5","1","0","43","2005-10-11","11:20","BF","CLS","A1","","FALSE","","","FALSE","FALSE","","","MBO","300","","","FMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/11/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"FMMP",41
"5602","1","121258632","NOCA","88","2","1","4","1","0","43","2005-10-21","12:50","MAG","MAG","B2","","FALSE","","","FALSE","FALSE","","","MBO","300","","","FMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/21/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"FMMP",42
"5647","1","223100870","NOCA","89","1","1","5","1","0","43","2005-10-24","09:20","BF","MSM","H1","","FALSE","","","FALSE","FALSE","","","MBO","300","","","FMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/24/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"FMMP",43
"5798","R","86110686","NOCA","89","0","1","5","1","0","44","2005-10-28","13:40","MAG","SJF","V1","","FALSE","","","TRUE","FALSE","","","MBO","300","7","89","FMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Return","","328","10/28/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"FMMP",43
"5811","R","223100857","NOCA","90","2","1","5","1","0","42","2005-10-29","08:10","BF","CED","B2","wing measured twice","FALSE","","","TRUE","FALSE","","","MBO","300","7","89","FMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","24","10/29/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"FMMP",44
"5842","R","189189789","NOCA","89","1","1","5","1","0","47","2005-10-30","07:40","MAG","NRB","V4","","FALSE","","","TRUE","FALSE","","","MBO","300","7","89","FMMP2005","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","62","10/30/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"FMMP",44
"5968","1","121258634","NOCA","94","2","1","4","1","0","47","2005-11-02","12:30","MAG","BF","V1","","FALSE","","","FALSE","FALSE","","","MBO","300","","","WINTER2005-06","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","11/2/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"WINT",44
"6155","1","223100893","NOCA","90","0","1","5","1","0","45","2005-12-11","10:40","MAG","MAG","V1","","FALSE","","","FALSE","FALSE","1","","MBO","300","","","WINTER2005-06","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","12/11/2005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2005,"WINT",50
"6219","1","223100894","NOCA","95","1","1","4","1","1","48","2006-01-13","15:10","MAG","MAG","V3","","FALSE","","","FALSE","FALSE","","","MBO","300","","","WINTER2005-06","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","1/13/2006","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2006,"WINT",2
"6326","1","223100895","NOCA","90","1","1","5","1","1","48","2006-02-15","10:40","MAG","BHM","V4","","FALSE","","","FALSE","FALSE","","","MBO","300","","","WINTER2005-06","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","2/15/2006","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2006,"WINT",7
"6329","R","223100857","NOCA","90","1","1","5","1","1","44","2006-02-15","11:00","MAG","MSM","V3","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","WINTER2005-06","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Return","","109","2/15/2006","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2006,"WINT",7
"6471","1","223100897","NOCA","94","1","1","5","1B","0","44.6","2006-04-12","11:00","MAG","BF","B2","","FALSE","","","FALSE","FALSE","","","MBO","300","","","SMMP2006","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","4/12/2006","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2006,"SMMP",15
"6681","1","195151510","NOCA","93","1","1","4","1","0","39","2006-04-29","08:20","MAG","CLD","B3","","FALSE","","","FALSE","FALSE","","","MBO","300","","","SMMP2006","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","4/29/2006","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2006,"SMMP",17
